0,0,342.0998
0,0,342.0998
0,0,342.0998
0,0,342.0998
0,0,342.0998
14745600,150,32.2543
0,0,342.8204
0,0,342.8204
14745600,150,32.3589
29491200,300,16.5751
44236800,450,7.5020
58982400,600,6.3698
73728000,750,5.6842
88473600,900,5.1720
103219200,1050,4.9012
117964800,1200,4.7095
132710400,1350,4.6272
147456000,1500,4.5137
162201600,1650,4.4501
176947200,1800,4.4059
206438400,2100,4.3642
221184000,2250,4.3582
250675200,2550,4.3009
280166400,2850,4.2578
294912000,3000,4.2459
309657600,3150,4.2146
324403200,3300,4.1854
339148800,3450,4.1815
353894400,3600,4.1565
383385600,3900,4.1467
398131200,4050,4.1348
412876800,4200,4.0834
442368000,4500,4.0877
457113600,4650,4.0567
471859200,4800,4.0265
486604800,4950,4.0024
516096000,5250,3.9547
560332800,5700,3.8944
589824000,6000,3.8562
634060800,6450,3.8421
648806400,6600,3.8228
663552000,6750,3.7919
678297600,6900,3.7535
693043200,7050,3.7436
707788800,7200,3.7234
722534400,7350,3.7102
737280000,7500,3.6927
752025600,7650,3.6536
781516800,7950,3.6425
796262400,8100,3.6081
811008000,8250,3.5435
840499200,8550,3.5348
884736000,9000,3.5147
899481600,9150,3.4579
0,0,342.8103
14745600,150,32.4401
29491200,300,16.7149
44236800,450,7.5445
58982400,600,6.4307
73728000,750,5.8076
88473600,900,5.2337
103219200,1050,5.0031
117964800,1200,4.7702
132710400,1350,4.7494
147456000,1500,4.5940
162201600,1650,4.5836
176947200,1800,4.4802
191692800,1950,4.4549
221184000,2250,4.3767
0,0,342.1151
280166400,2850,4.3678
294912000,3000,4.2927
309657600,3150,4.2860
339148800,3450,4.2787
368640000,3750,4.2607
398131200,4050,4.2314
412876800,4200,4.1607
427622400,4350,4.1533
471859200,4800,4.0992
486604800,4950,4.0504
516096000,5250,4.0439
530841600,5400,3.9947
604569600,6150,3.9065
634060800,6450,3.8579
678297600,6900,3.8086
693043200,7050,3.7702
752025600,7650,3.7074
766771200,7800,3.6708
811008000,8250,3.6390
0,0,343.0652
14745600,150,32.4457
29491200,300,17.0365
44236800,450,7.6437
0,0,343.0652
14745600,150,32.4511
0,0,11.0053
0,0,11.0053
14745600,150,7.3808
29491200,300,6.0684
44236800,450,5.3393
58982400,600,4.8492
73728000,750,4.6034
88473600,900,4.4576
103219200,1050,4.3557
117964800,1200,4.2659
132710400,1350,4.2254
147456000,1500,4.1736
162201600,1650,4.1368
176947200,1800,4.1309
191692800,1950,4.0717
206438400,2100,4.0654
221184000,2250,4.0490
235929600,2400,4.0247
250675200,2550,3.9973
265420800,2700,3.9954
280166400,2850,3.9516
294912000,3000,3.9434
309657600,3150,3.9424
324403200,3300,3.9192
353894400,3600,3.8878
383385600,3900,3.8760
398131200,4050,3.8708
412876800,4200,3.8587
427622400,4350,3.8314
442368000,4500,3.8236
457113600,4650,3.7984
471859200,4800,3.7800
530841600,5400,3.7441
545587200,5550,3.7381
560332800,5700,3.7190
575078400,5850,3.6998
589824000,6000,3.6882
604569600,6150,3.6647
619315200,6300,3.6617
634060800,6450,3.6454
648806400,6600,3.6385
663552000,6750,3.6052
693043200,7050,3.5999
707788800,7200,3.5709
722534400,7350,3.5603
737280000,7500,3.5570
752025600,7650,3.5306
766771200,7800,3.5289
781516800,7950,3.5111
796262400,8100,3.5101
811008000,8250,3.4643
855244800,8700,3.4519
869990400,8850,3.4314
928972800,9450,3.4147
0,0,11.0053
14745600,150,7.3692
29491200,300,6.0470
44236800,450,5.3402
58982400,600,4.8003
73728000,750,4.5463
88473600,900,4.3791
103219200,1050,4.2803
117964800,1200,4.1852
132710400,1350,4.1382
147456000,1500,4.0776
162201600,1650,4.0376
176947200,1800,3.9971
191692800,1950,3.9471
206438400,2100,3.9373
221184000,2250,3.9167
235929600,2400,3.8703
250675200,2550,3.8444
265420800,2700,3.8388
280166400,2850,3.7928
294912000,3000,3.7904
309657600,3150,3.7760
324403200,3300,3.7559
339148800,3450,3.7528
353894400,3600,3.7240
383385600,3900,3.7004
412876800,4200,3.6859
427622400,4350,3.6601
442368000,4500,3.6562
457113600,4650,3.6292
471859200,4800,3.6188
530841600,5400,3.5888
545587200,5550,3.5843
560332800,5700,3.5808
575078400,5850,3.5639
589824000,6000,3.5596
604569600,6150,3.5406
634060800,6450,3.5364
648806400,6600,3.5355
663552000,6750,3.5117
707788800,7200,3.5013
722534400,7350,3.4950
752025600,7650,3.4839
811008000,8250,3.4519
869990400,8850,3.4458
928972800,9450,3.4451
0,0,10.8910
0,0,10.8910
0,0,10.8932
0,0,10.8910
0,0,10.8910
0,0,10.8916
0,0,10.8916
294912,3,10.8818
491520,5,10.8715
589824,6,10.8409
688128,7,10.8149
786432,8,10.7650
884736,9,10.7263
983040,10,10.6532
1081344,11,10.5941
1179648,12,10.5308
1277952,13,10.4250
1376256,14,10.3463
0,0,10.8172
102400,100,8.8115
204800,200,6.8287
0,0,10.8172
102400,100,6.3334
204800,200,5.8850
614400,600,5.5150
0,0,10.8172
102400,100,6.3334
204800,200,5.8850
614400,600,5.5150
921600,900,5.5055
1126400,1100,5.4917
1228800,1200,5.3423
0,0,10.8172
102400,100,6.3334
204800,200,5.8850
409600,400,5.7865
614400,600,5.3502
921600,900,5.3379
1228800,1200,5.2610
0,0,10.8172
102400,100,6.3334
204800,200,5.8850
409600,400,5.7865
614400,600,5.3502
921600,900,5.3379
1228800,1200,5.2610
1433600,1400,5.0724
0,0,10.8172
102400,100,6.3334
204800,200,5.8850
614400,600,5.3250
1433600,1400,5.2460
1740800,1700,5.1745
0,0,10.8272
102400,100,7.7695
204800,200,7.2044
409600,400,7.1719
512000,500,7.1517
614400,600,6.9637
716800,700,6.8324
819200,800,6.7126
1843200,1800,6.7038
0,0,10.8272
102400,100,7.7695
204800,200,7.2044
409600,400,7.1719
614400,600,7.1186
716800,700,7.0256
819200,800,6.7793
1331200,1300,6.6430
1638400,1600,6.6307
1740800,1700,6.6262
1843200,1800,6.5421
2355200,2300,6.4625
0,0,10.8446
102400,100,7.5291
0,0,10.8656
102400,100,7.4832
204800,200,7.1462
307200,300,7.0909
512000,500,7.0434
614400,600,6.9678
716800,700,6.8597
819200,800,6.8165
921600,900,6.7619
1024000,1000,6.7024
1228800,1200,6.5140
1433600,1400,6.4679
1536000,1500,6.4176
1638400,1600,6.3530
2048000,2000,6.3421
2150400,2100,6.2507
0,0,10.8656
102400,100,7.4832
204800,200,7.1462
307200,300,7.0909
614400,600,7.0018
716800,700,6.9437
819200,800,6.8693
921600,900,6.8007
1024000,1000,6.7270
1228800,1200,6.5364
1433600,1400,6.4857
1536000,1500,6.4494
1638400,1600,6.3681
2048000,2000,6.3550
2150400,2100,6.2647
0,0,10.8656
102400,100,7.4832
204800,200,7.1462
307200,300,7.0909
614400,600,7.0018
716800,700,6.9437
819200,800,6.8693
921600,900,6.8007
1024000,1000,6.7270
1228800,1200,6.5364
1433600,1400,6.4857
1536000,1500,6.4494
1638400,1600,6.3681
2048000,2000,6.3550
0,0,10.8656
102400,100,7.4832
204800,200,7.1462
307200,300,7.0909
614400,600,7.0018
716800,700,6.9437
819200,800,6.8693
921600,900,6.8007
1024000,1000,6.7270
1228800,1200,6.5364
1433600,1400,6.4857
1536000,1500,6.4494
1638400,1600,6.3681
0,0,10.8656
102400,100,7.4832
204800,200,7.1462
307200,300,7.0909
614400,600,7.0018
716800,700,6.9437
1228800,1200,6.9034
1433600,1400,6.8010
1536000,1500,6.7752
1638400,1600,6.7026
1945600,1900,6.6940
2048000,2000,6.4980
2150400,2100,6.4047
3686400,3600,6.3030
3788800,3700,6.2397
3891200,3800,6.2287
4300800,4200,6.1534
4505600,4400,6.1384
5017600,4900,6.1365
5529600,5400,5.9397
7475200,7300,5.9371
7987200,7800,5.9068
8294400,8100,5.8876
9011200,8800,5.8164
9728000,9500,6.2048
9830400,9600,6.1343
10035200,9800,6.0620
0,0,10.8394
102400,100,7.8134
204800,200,7.3944
307200,300,7.1159
716800,700,6.8552
921600,900,6.7886
1331200,1300,6.7548
1433600,1400,6.6926
1638400,1600,6.5977
1740800,1700,6.5556
2560000,2500,6.5240
2662400,2600,6.4749
2764800,2700,6.4519
3481600,3400,6.4041
3686400,3600,6.3658
3788800,3700,6.3490
4096000,4000,6.2362
4505600,4400,6.2330
4915200,4800,6.2293
5324800,5200,6.2019
5836800,5700,6.1617
6348800,6200,6.0950
6451200,6300,6.0772
