iter,train_loss,lr,mfu,dt_ms,tokens_seen
1170,4.5574,0.01979254,0.0997,2049.51,115015680
1180,4.71,0.01978633,0.1002,2049.63,115998720
1190,4.6103,0.01978002,0.1007,2050.41,116981760
1200,4.601,0.01977362,0.0938,6839.29,117964800
1210,4.4217,0.01976713,0.0949,2049.41,118947840
1220,4.3955,0.01976055,0.0959,2049.3,119930880
1230,4.5232,0.01975388,0.0968,2050.42,120913920
1240,4.355,0.01974712,0.0977,2051.65,121896960
1250,4.4476,0.01974027,0.0984,2051.02,122880000
1260,3.6857,0.01973333,0.0991,2050.06,123863040
1270,4.2222,0.0197263,0.0996,2050.25,124846080
1280,4.3531,0.01971918,0.1002,2050.88,125829120
1290,4.3967,0.01971197,0.1007,2050.73,126812160
1300,4.6915,0.01970467,0.0939,6598.65,127795200
1310,4.3521,0.01969727,0.095,2051.78,128778240
1320,4.201,0.01968979,0.096,2051.75,129761280
1330,4.7006,0.01968222,0.0969,2050.79,130744320
1340,4.3048,0.01967456,0.0977,2051.45,131727360
1350,4.174,0.01966681,0.0984,2051.84,132710400
1360,4.3908,0.01965897,0.0991,2052.33,133693440
1370,4.4504,0.01965104,0.0996,2052.03,134676480
1380,3.6801,0.01964302,0.1002,2052.08,135659520
1390,4.5654,0.01963491,0.1006,2051.5,136642560
1400,4.3426,0.01962671,0.0938,6790.41,137625600
1410,4.1894,0.01961842,0.0949,2051.79,138608640
1420,4.1223,0.01961004,0.0959,2051.82,139591680
1430,4.274,0.01960158,0.0968,2051.46,140574720
1440,4.4609,0.01959302,0.0976,2052.25,141557760
1450,4.0137,0.01958438,0.0983,2052.71,142540800
1460,4.0521,0.01957565,0.099,2051.9,143523840
1470,4.0868,0.01956682,0.0996,2051.53,144506880
1480,4.001,0.01955791,0.1001,2052.17,145489920
1490,4.3661,0.01954891,0.1006,2052.3,146472960
1500,3.9621,0.01953983,0.0937,6771.78,147456000
1510,4.1334,0.01953065,0.0948,2050.78,148439040
1520,4.397,0.01952139,0.0959,2052.03,149422080
1530,4.5319,0.01951203,0.0968,2051.9,150405120
1540,4.4613,0.01950259,0.0976,2052.93,151388160
1550,4.4577,0.01949306,0.0983,2052.51,152371200
1560,4.6196,0.01948345,0.099,2051.01,153354240
1570,3.7791,0.01947374,0.0996,2051.58,154337280
1580,4.2794,0.01946395,0.1001,2052.84,155320320
1590,4.5795,0.01945407,0.1006,2052.61,156303360
1600,3.8759,0.0194441,0.0937,6771.56,157286400
1610,4.4145,0.01943404,0.0948,2054.9,158269440
1620,4.2257,0.0194239,0.0958,2055.54,159252480
1630,5.542,0.01941367,0.0967,2055.81,160235520
1640,4.4177,0.01940335,0.0975,2055.5,161218560
1650,3.7084,0.01939294,0.0982,2057.28,162201600
1660,4.2864,0.01938245,0.0989,2055.55,163184640
1670,4.1856,0.01937187,0.0995,2056.05,164167680
1680,4.1272,0.01936121,0.1,2055.65,165150720
1690,4.222,0.01935045,0.1005,2056.38,166133760
1700,4.1093,0.01933961,0.0935,6891.72,167116800
1710,4.2279,0.01932869,0.0947,2055.69,168099840
1720,3.8145,0.01931767,0.0957,2056.96,169082880
1730,4.1684,0.01930657,0.0966,2057.23,170065920
1740,4.2266,0.01929539,0.0974,2057.14,171048960
1750,4.4805,0.01928411,0.0981,2057.26,172032000
1760,3.8976,0.01927276,0.0988,2056.73,173015040
1770,3.8822,0.01926131,0.0994,2055.83,173998080
1780,4.2316,0.01924978,0.0999,2057.84,174981120
1790,4.4992,0.01923817,0.1004,2057.16,175964160
1800,3.9767,0.01922647,0.0947,4871.97,176947200
1810,4.6462,0.01921468,0.0957,2056.9,177930240
1820,4.2205,0.01920281,0.0966,2056.22,178913280
1830,3.9318,0.01919085,0.0974,2057.85,179896320
1840,4.2457,0.01917881,0.0982,2057.88,180879360
1850,3.7058,0.01916668,0.0988,2057.09,181862400
1860,4.0691,0.01915446,0.0994,2057.48,182845440
1870,4.1106,0.01914217,0.0999,2057.44,183828480
1880,4.0221,0.01912978,0.1004,2056.46,184811520
1890,4.5177,0.01911732,0.1008,2057.42,185794560
1900,4.3865,0.01910476,0.0938,6950.77,186777600
1910,4.5286,0.01909213,0.0949,2053.98,187760640
1920,4.0805,0.01907941,0.0959,2056.55,188743680
