0,0,10.9311
3276800,100,7.6722
6553600,200,6.5560
9830400,300,6.1513
13107200,400,5.9094
16384000,500,5.7726
19660800,600,5.5847
22937600,700,5.3862
26214400,800,5.2632
29491200,900,5.1831
32768000,1000,5.1230
36044800,1100,5.1203
39321600,1200,5.0166
42598400,1300,4.9724
45875200,1400,4.9315
49152000,1500,4.9089
55705600,1700,4.8518
62259200,1900,4.8426
65536000,2000,4.9084
68812800,2100,4.8277
72089600,2200,4.7997
75366400,2300,4.7911
78643200,2400,4.7690
81920000,2500,4.7776
85196800,2600,4.7475
88473600,2700,4.7171
98304000,3000,4.7081
101580800,3100,4.7037
104857600,3200,4.6597
111411200,3400,4.6357
114688000,3500,4.6708
117964800,3600,4.6358
121241600,3700,4.5932
124518400,3800,4.5471
127795200,3900,4.5237
131072000,4000,4.5581
134348800,4100,4.5214
137625600,4200,4.5117
144179200,4400,4.4787
147456000,4500,4.5152
150732800,4600,4.4918
154009600,4700,4.4806
157286400,4800,4.4437
160563200,4900,4.4336
163840000,5000,4.4494
167116800,5100,4.4323
170393600,5200,4.3811
180224000,5500,4.3854
183500800,5600,4.3081
190054400,5800,4.2995
196608000,6000,4.2918
199884800,6100,4.2909
203161600,6200,4.2371
206438400,6300,4.2363
212992000,6500,4.1911
222822400,6800,4.1850
226099200,6900,4.1469
229376000,7000,4.1732
232652800,7100,4.1322
235929600,7200,4.1169
242483200,7400,4.0861
245760000,7500,4.0456
249036800,7600,4.0358
255590400,7800,4.0351
258867200,7900,4.0165
262144000,8000,3.9705
275251200,8400,3.9699
278528000,8500,3.9353
281804800,8600,3.9108
285081600,8700,3.9061
288358400,8800,3.8946
291635200,8900,3.8608
294912000,9000,3.9084
298188800,9100,3.8992
301465600,9200,3.8766
304742400,9300,3.8453
311296000,9500,3.8258
317849600,9700,3.8148
324403200,9900,3.8070
327680000,10000,3.8047
344064000,10500,4.4106
347340800,10600,4.3809
350617600,10700,4.3735
353894400,10800,4.3724
357171200,10900,4.3305
360448000,11000,4.3766
363724800,11100,4.3509
367001600,11200,4.3276
370278400,11300,4.3121
373555200,11400,4.3101
376832000,11500,4.2737
383385600,11700,4.2547
389939200,11900,4.2379
393216000,12000,4.2977
396492800,12100,4.2557
399769600,12200,4.2376
403046400,12300,4.2297
406323200,12400,4.2282
409600000,12500,4.2273
412876800,12600,4.2237
416153600,12700,4.1885
425984000,13000,4.2048
429260800,13100,4.1925
432537600,13200,4.1568
435814400,13300,4.1444
439091200,13400,4.1367
442368000,13500,4.1762
445644800,13600,4.1492
448921600,13700,4.1245
452198400,13800,4.0695
455475200,13900,4.0599
458752000,14000,4.0908
462028800,14100,4.0694
465305600,14200,4.0545
471859200,14400,4.0322
475136000,14500,4.0747
478412800,14600,4.0575
481689600,14700,4.0484
484966400,14800,4.0107
491520000,15000,4.0258
494796800,15100,4.0242
498073600,15200,3.9856
501350400,15300,3.9769
507904000,15500,3.9926
511180800,15600,3.9257
524288000,16000,3.9318
530841600,16200,3.8910
540672000,16500,3.8651
553779200,16900,3.8491
557056000,17000,3.8875
560332800,17100,3.8523
563609600,17200,3.8500
570163200,17400,3.8297
573440000,17500,3.8019
576716800,17600,3.7954
