iter,train_loss,lr,mfu,dt_ms,tokens_seen
1090,4.9857,1.981280e-02,0.0056,4573.75,35717120
1100,5.1803,1.980642e-02,0.0052,25617.99,36044800
1110,4.9766,1.979994e-02,0.0053,4575.52,36372480
1120,5.1750,1.979335e-02,0.0053,4547.22,36700160
1130,5.0826,1.978665e-02,0.0054,4566.59,37027840
1140,4.6643,1.977985e-02,0.0054,4551.71,37355520
1150,5.0654,1.977295e-02,0.0055,4565.62,37683200
1160,4.8661,1.976593e-02,0.0055,4554.84,38010880
1170,4.7322,1.975882e-02,0.0056,4556.03,38338560
1180,5.1708,1.975159e-02,0.0056,4559.65,38666240
1190,4.7230,1.974426e-02,0.0056,4552.00,38993920
1200,5.0499,1.973683e-02,0.0052,25735.94,39321600
1210,4.8825,1.972929e-02,0.0053,4566.43,39649280
1220,5.0037,1.972165e-02,0.0053,4567.02,39976960
1230,5.1657,1.971390e-02,0.0054,4570.50,40304640
1240,5.0878,1.970605e-02,0.0054,4567.97,40632320
1250,4.8157,1.969809e-02,0.0055,4564.86,40960000
1260,4.8413,1.969003e-02,0.0055,4569.62,41287680
1270,4.8102,1.968186e-02,0.0056,4561.25,41615360
1280,4.6440,1.967359e-02,0.0056,4561.60,41943040
1290,5.0559,1.966521e-02,0.0056,4551.20,42270720
1300,4.7271,1.965673e-02,0.0052,25616.85,42598400
1310,5.0959,1.964815e-02,0.0053,4557.64,42926080
1320,4.7543,1.963946e-02,0.0053,4566.84,43253760
1330,4.9274,1.963067e-02,0.0054,4552.07,43581440
1340,4.8716,1.962177e-02,0.0054,4573.12,43909120
1350,5.1091,1.961277e-02,0.0055,4563.74,44236800
1360,4.5492,1.960367e-02,0.0055,4567.29,44564480
1370,4.8036,1.959446e-02,0.0056,4552.19,44892160
1380,4.7679,1.958515e-02,0.0056,4567.72,45219840
1390,5.1012,1.957574e-02,0.0056,4577.99,45547520
1400,4.9683,1.956622e-02,0.0052,25639.66,45875200
1410,4.8693,1.955660e-02,0.0053,4559.53,46202880
1420,5.1127,1.954688e-02,0.0053,4569.19,46530560
1430,4.9876,1.953705e-02,0.0054,4570.61,46858240
1440,4.7486,1.952712e-02,0.0054,4565.10,47185920
1450,5.1452,1.951709e-02,0.0055,4553.68,47513600
1460,4.8933,1.950695e-02,0.0055,4563.90,47841280
1470,4.7336,1.949672e-02,0.0056,4555.74,48168960
1480,5.0562,1.948638e-02,0.0056,4556.05,48496640
1490,4.6244,1.947593e-02,0.0056,4551.25,48824320
1500,4.7907,1.946539e-02,0.0052,25623.80,49152000
1510,4.6120,1.945474e-02,0.0053,4572.72,49479680
1520,4.7172,1.944399e-02,0.0053,4565.04,49807360
1530,4.7415,1.943314e-02,0.0054,4570.13,50135040
1540,5.0316,1.942219e-02,0.0054,4572.36,50462720
1550,4.6799,1.941114e-02,0.0055,4568.29,50790400
1560,4.8017,1.939998e-02,0.0055,4567.37,51118080
1570,4.8771,1.938872e-02,0.0056,4574.57,51445760
1580,4.7936,1.937737e-02,0.0056,4566.28,51773440
1590,4.7440,1.936591e-02,0.0056,4567.59,52101120
1600,4.9944,1.935435e-02,0.0052,25155.90,52428800
1610,4.6247,1.934269e-02,0.0053,4559.91,52756480
1620,4.7854,1.933092e-02,0.0053,4560.86,53084160
1630,4.7759,1.931906e-02,0.0054,4555.84,53411840
