0,0,10.9311
3276800,100,7.6722
6553600,200,6.5560
9830400,300,6.1513
13107200,400,5.9094
16384000,500,5.7726
19660800,600,5.5847
22937600,700,5.3862
26214400,800,5.2632
29491200,900,5.1831
32768000,1000,5.1230
36044800,1100,5.1203
39321600,1200,5.0166
42598400,1300,4.9724
45875200,1400,4.9315
49152000,1500,4.9089
55705600,1700,4.8518
62259200,1900,4.8426
65536000,2000,4.9084
68812800,2100,4.8277
72089600,2200,4.7997
75366400,2300,4.7911
78643200,2400,4.7690
81920000,2500,4.7776
85196800,2600,4.7475
88473600,2700,4.7171
98304000,3000,4.7081
101580800,3100,4.7037
104857600,3200,4.6597
111411200,3400,4.6357
114688000,3500,4.6708
117964800,3600,4.6358
121241600,3700,4.5932
124518400,3800,4.5471
127795200,3900,4.5237
131072000,4000,4.5581
134348800,4100,4.5214
137625600,4200,4.5117
144179200,4400,4.4787
147456000,4500,4.5152
150732800,4600,4.4918
154009600,4700,4.4806
157286400,4800,4.4437
160563200,4900,4.4336
163840000,5000,4.4494
167116800,5100,4.4323
170393600,5200,4.3811
180224000,5500,4.3854
183500800,5600,4.3081
190054400,5800,4.2995
196608000,6000,4.2918
199884800,6100,4.2909
203161600,6200,4.2371
206438400,6300,4.2363
212992000,6500,4.1911
222822400,6800,4.1850
226099200,6900,4.1469
229376000,7000,4.1732
232652800,7100,4.1322
235929600,7200,4.1169
242483200,7400,4.0861
245760000,7500,4.0456
249036800,7600,4.0358
255590400,7800,4.0351
258867200,7900,4.0165
262144000,8000,4.0200
